run_id,run_name,state,sweep_id,created_at,model,seed,lr,wd,epochs,batch_size,dice_weight,dataset_length,early_stop_patience,burn_in,val_every,link,depth,start_filters,max_rot_order,group_order,activation_type,fourier_N,fourier_function,kernel_size,conv_sigma,up_mode,total_params,val_DetA,val_Recall,val_DetA_ann1,val_DetA_ann2,val_Recall_ann1,val_Recall_ann2,test_DetA,test_Recall,test_HOTA,test_AssA,test_DetA_ann1,test_DetA_ann2,test_HOTA_ann1,test_HOTA_ann2,test_AssA_ann1,test_AssA_ann2
y67z24bu,lucky-sweep-23,finished,,2026-04-23T04:50:53Z,,,,,,,,,,,,,,,,,,,,,,,121391,0.8096885085105896,0.8206920027732849,0.8233786821365356,0.8160392045974731,0.8119099140167236,0.8533275723457336,0.7805275321006775,,0.6848599910736084,0.600918173789978,0.7805275321006775,,0.6848599910736084,,0.600918173789978,
3du73tmr,rural-sweep-24,finished,,2026-04-23T04:52:02Z,,,,,,,,,,,,,,,,,,,,,,,93152,0.8056350946426392,0.8415425419807434,0.8201707005500793,0.8098759651184082,0.8303471803665161,0.8772687911987305,0.7810458540916443,,0.7055965662002563,0.6374356746673584,0.7810458540916443,,0.7055965662002563,,0.6374356746673584,
pvsapxmb,gallant-sweep-25,finished,,2026-04-23T05:30:36Z,,,,,,,,,,,,,,,,,,,,,,,69456,0.7981476187705994,0.8543521761894226,0.8180220723152161,0.7969580888748169,0.8328748941421509,0.8993949890136719,0.768470287322998,,0.6856054663658142,0.611676037311554,0.768470287322998,,0.6856054663658142,,0.611676037311554,
1wf6topx,worldly-sweep-26,finished,,2026-04-23T05:32:06Z,,,,,,,,,,,,,,,,,,,,,,,47854,0.807048499584198,0.8312802314758301,0.8176042437553406,0.8142648339271545,0.8202363848686218,0.8593776822090149,0.7985026836395264,,0.7134729027748108,0.6374976634979248,0.7985026836395264,,0.7134729027748108,,0.6374976634979248,
02zt3t10,stoic-sweep-27,finished,,2026-04-23T06:06:49Z,,,,,,,,,,,,,,,,,,,,,,,29620,0.8094989657402039,0.8352512121200562,0.8202675580978394,0.8214896321296692,0.8215746283531189,0.8649092316627502,0.8041914105415344,,0.7248809337615967,0.6533920764923096,0.8041914105415344,,0.7248809337615967,,0.6533920764923096,
3wzdazaq,apricot-sweep-28,finished,,2026-04-23T06:09:41Z,,,,,,,,,,,,,,,,,,,,,,,18005,0.804970920085907,0.8520222902297974,0.8154749274253845,0.8133590817451477,0.83086758852005,0.8940362930297852,0.8082236051559448,,0.7271220088005066,0.6541585922241211,0.8082236051559448,,0.7271220088005066,,0.6541585922241211,
ohwt15xc,graceful-sweep-1,finished,,2026-04-23T13:16:48Z,,,,,,,,,,,,,,,,,,,,,,,488892,0.8096926808357239,0.8743086457252502,0.8200860619544983,0.8191744685173035,0.854880690574646,0.9203975796699524,0.8081847429275513,,0.7182429432868958,0.6383106112480164,0.8081847429275513,,0.7182429432868958,,0.6383106112480164,
4tq4u774,true-sweep-2,finished,,2026-04-23T13:16:49Z,,,,,,,,,,,,,,,,,,,,,,,430329,0.8126667737960815,0.8343119025230408,0.8263711333274841,0.8158054947853088,0.8204594254493713,0.8732929825782776,0.8254783153533936,,0.7388057112693787,0.6612334251403809,0.8254783153533936,,0.7388057112693787,,0.6612334251403809,
1lj89doq,warm-sweep-3,finished,,2026-04-23T14:13:30Z,,,,,,,,,,,,,,,,,,,,,,,373168,0.8110175728797913,0.8490784764289856,0.8266036510467529,0.8184826374053955,0.8301241397857666,0.8891097903251648,0.8079929351806641,,0.7193030118942261,0.6403481960296631,0.8079929351806641,,0.7193030118942261,,0.6403481960296631,
9wq2a5mt,stilted-sweep-4,finished,,2026-04-23T14:13:51Z,,,,,,,,,,,,,,,,,,,,,,,322249,0.8116122484207153,0.8776613473892212,0.8271834850311279,0.8156033754348755,0.8576313853263855,0.9239412546157836,0.792843759059906,,0.7134160995483398,0.6419456005096436,0.792843759059906,,0.7134160995483398,,0.6419456005096436,
