run_id,run_name,state,sweep_id,created_at,model,seed,lr,wd,epochs,batch_size,dice_weight,dataset_length,early_stop_patience,burn_in,val_every,link,depth,start_filters,max_rot_order,group_order,activation_type,fourier_N,fourier_function,kernel_size,conv_sigma,up_mode,total_params,epoch,val_DetA,val_DetA_ann1,val_DetA_ann2,val_DetA_ann3,val_Recall,val_Recall_ann1,val_Recall_ann2,val_Recall_ann3,val_HOTA,val_HOTA_ann1,val_HOTA_ann2,val_HOTA_ann3,val_AssA,val_AssA_ann1,val_AssA_ann2,val_AssA_ann3,test_DetA,test_DetA_ann1,test_HOTA,test_HOTA_ann1,test_AssA,test_AssA_ann1
fqm4v2nc,bright-sweep-8,finished,,2026-04-23T15:57:50Z,equiunet,2,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,9,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,157348,100,0.800020158290863,0.8153060674667358,0.8025845885276794,0.7821698784828186,0.8285812139511108,0.8156270980834961,0.858599841594696,0.8115167617797852,0.7456798553466797,0.7474659085273743,0.7430023550987244,0.7465713620185852,0.6952356696128845,0.6852705478668213,0.6878433227539062,0.7125930190086365,0.8117496967315674,0.8117496967315674,0.7124641537666321,0.7124641537666321,0.6253223419189453,0.6253223419189453
x50u7zjq,dandy-sweep-9,finished,,2026-04-23T16:41:41Z,equiunet,2,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,8,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,121391,100,0.8096932768821716,0.824984073638916,0.8142096996307373,0.7898859977722168,0.8661303520202637,0.8478180170059204,0.9115816950798036,0.8389913439750671,0.7561889886856079,0.7612206935882568,0.7611926198005676,0.7461536526679993,0.706285297870636,0.702385663986206,0.711627721786499,0.7048425078392029,0.765927255153656,0.765927255153656,0.6642353534698486,0.6642353534698486,0.576045036315918,0.576045036315918
p3zxxdfc,skilled-sweep-10,finished,,2026-04-23T16:42:33Z,equiunet,2,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,7,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,93152,100,0.8096047043800354,0.8236135840415955,0.8162511587142944,0.7889493107795715,0.8466520309448242,0.8310163021087646,0.8870354294776917,0.8219044208526611,0.7519267797470093,0.7487149834632874,0.760965883731842,0.7460994124412537,0.698543131351471,0.6806275844573975,0.709425151348114,0.7055767178535461,0.7741296291351318,0.7741296291351318,0.6927623152732849,0.6927623152732849,0.6199473142623901,0.6199473142623901
s1g6ba3k,classic-sweep-11,finished,,2026-04-23T17:22:03Z,equiunet,2,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,6,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,69456,100,0.8072293400764465,0.8164511919021606,0.8131792545318604,0.7920575737953186,0.8355332612991333,0.821054220199585,0.8719965219497681,0.8135491013526917,0.7475205063819885,0.7427964806556702,0.7587220072746277,0.7410430312156677,0.6923374533653259,0.6757863759994507,0.7079117298126221,0.693314254283905,0.7993869781494141,0.7993869781494141,0.7000861167907715,0.7000861167907715,0.6131205558776855,0.6131205558776855
lpx4o2w3,fragrant-sweep-12,finished,,2026-04-23T17:22:38Z,equiunet,2,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,5,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,47854,100,0.803798258304596,0.8122655153274536,0.8195129632949829,0.7796162962913513,0.8306604027748108,0.8175600171089172,0.8592912554740906,0.815129816532135,0.7464293837547302,0.7434122562408447,0.7550802230834961,0.7407956719398499,0.6933389902114868,0.6803954243659973,0.695713460445404,0.7039081454277039,0.7914705872535706,0.7914705872535706,0.7209301590919495,0.7209301590919495,0.6566766500473022,0.6566766500473022
5uq4eknm,sunny-sweep-13,finished,,2026-04-23T17:58:19Z,equiunet,2,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,4,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,29620,100,0.806899905204773,0.8237273693084717,0.8138551712036133,0.7831172347068787,0.8038650751113892,0.7948851585388184,0.8320657014846802,0.784644365310669,0.7490413188934326,0.7526629567146301,0.7498922944068909,0.7445687055587769,0.6955345273017883,0.6877294182777405,0.6909564733505249,0.7079177498817444,0.8005905747413635,0.8005905747413635,0.7102916240692139,0.7102916240692139,0.6301774978637695,0.6301774978637695
tk7umchg,devout-sweep-14,finished,,2026-04-23T17:58:54Z,equiunet,2,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,3,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,18005,100,0.8109739422798157,0.827185869216919,0.811766505241394,0.7939695119857788,0.833994448184967,0.8212028741836548,0.8624892234802246,0.8182913064956665,0.7493799924850464,0.7461909055709839,0.7519858479499817,0.7499631643295288,0.6927101016044617,0.6731266975402832,0.6966076493263245,0.7083958983421326,0.8100929856300354,0.8100929856300354,0.7219575047492981,0.7219575047492981,0.6434108018875122,0.6434108018875122
g9l4y0h2,winter-sweep-15,finished,,2026-04-23T18:32:17Z,equiunet,3,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,16,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,488892,100,0.8091874718666077,0.8234999775886536,0.8137751221656799,0.7902873158454895,0.8572248220443726,0.842613935470581,0.8942091464996338,0.8348513245582581,0.7531132102012634,0.7584245800971985,0.7583149075508118,0.7426002025604248,0.7009721994400024,0.6984915733337402,0.7066344618797302,0.6977906227111816,0.793469250202179,0.793469250202179,0.7098299860954285,0.7098299860954285,0.6350071430206299,0.6350071430206299
6o6r48wa,trim-sweep-16,finished,,2026-04-23T18:34:20Z,equiunet,3,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,15,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,430329,100,0.816031813621521,0.8373798727989197,0.8160771131515503,0.794638454914093,0.8389952778816223,0.8285629153251648,0.8732929825782776,0.815129816532135,0.7553739547729492,0.7578402757644653,0.7576367259025574,0.750644862651825,0.6994413733482361,0.6858558654785156,0.7033812999725342,0.7090868949890137,0.7593048214912415,0.7593048214912415,0.6856896281242371,0.6856896281242371,0.6192114949226379,0.6192114949226379
7s0qtzqk,balmy-sweep-17,finished,,2026-04-23T19:31:04Z,equiunet,3,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,14,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,373168,100,0.8136789798736572,0.8279385566711426,0.8188166618347168,0.7942816615104675,0.8425536155700684,0.8328005075454712,0.8770959377288818,0.817764401435852,0.7559781670570374,0.7488008737564087,0.765283465385437,0.7538501620292664,0.7026515007019043,0.6772275567054749,0.7152501940727234,0.7154768109321594,0.8092707991600037,0.8092707991600037,0.7380247116088867,0.7380247116088867,0.6730509400367737,0.6730509400367737
